 Term label	SWEET Term IRI	SWEET Term Type	ENVO Term IRI	New term	Harmonized GCW Definition	ENVO definition	External definition and source	Tackled?	Notes																					
	http://sweetontology.net/realmCryo/Iceberg	Class	http://purl.obolibrary.org/obo/ENVO_01001546		"A piece of ice of greatly varying shape, usually protruding more than 5 m above water-level and with typical extents from tens of meters to many tens of kilometres across.  They have broken away from a glacier or ice shelf and may be either afloat or aground. The greater part of an iceberg's mass (4/5 to 8/9) is below sea level which makes them dangerous to shipping in high and mid-latitude regions of the ocean.

Icebergs may be described as tabular, dome-shaped, sloping, pinnacled, dry-docked, blocky, weathered or glacier bergs in addition to having a size qualifier. Icebergs are not sea ice, when they melt they add fresh water to the ocean.  The unmodified term ""iceberg"" usually refers to the irregular masses of ice formed by the calving of glaciers along an orographically rough coast, whereas tabular icebergs and ice islands are calved from an ice shelf, while bergs formed from sea ice are called floebergs. In decreasing size, they are classified as: ice island (few thousand square meters to 500 km^2 in area); tabular iceberg; iceberg; bergy bit (less than 5 m above sea level, between 1 and 200 m^2 in area); and growler (less than 1 m above sea level, about 20 m^2 in area).

Alaskan icebergs rarely exceed 500 feet in maximum dimension.  Antarctic icebergs originate from the ice mass of the Antarctic continent that has accumulated over many thousands of years. "	"An ice mass which has broken away from a larger ice mass on land, such as a glacier or ice shelf, and may be either afloat or aground."		yes	"should there be a quality term for ""tabular, dome-shaped, sloping, pinnacled, dry-docked, blocky, weathered or glacier bergs""?"																					
			http://purl.obolibrary.org/obo/ENVO_01001535	floeberg	"A massive piece of sea ice composed of a hummock or a group of hummocks, frozen together and separated from any surrounding ice. It may float up to 17 ft (5 m) above sea level."	"An ice mass which is composed of a large amount of sea ice in the form of a hummock or a group of such hummocks, frozen together and separated from any surrounding ice by sea water."			subclass of iceberg; right now envo lists as related synonym of iceberg																					
				bergy bit	"A piece of floating ice, generally less than 5 m above sea level and not more than about to m across. It is generally of glacier ice, but may be a massive piece of sea ice or disrupted hummocked ice."				subclass of iceberg																					
				growler	"Sea ice terminology that describes a piece of ice smaller than a bergy bit that floats with less than 1 meter (3.3 feet) showing above water, often almost awash. A growler generally appears white but sometimes transparent or blue-green or nearly black in colour. Normally occupying an area of about 20 square meters, growlers are difficult to distinguish when surrounded by sea ice or in high seas. Growlers are usually a fragment of an iceberg or floeberg and its surface often is heavily pitted. "				subclass of iceberg																					
			http://purl.obolibrary.org/obo/ENVO_01001537	sea ice hummock	"Sea ice terminology, indicating a conglomeration of broken ice formed by pressure at the point of contact between ice floes; it may be fresh or weathered. The weathering of hummocks is similar to young mountain peaks with steep slopes that erode into smooth, rolling hills, in this case during the summer melt season.  The submerged volume of broken ice under the hummock, forced downwards by pressure, is termed a bummock.

"																									
			http://purl.obolibrary.org/obo/ENVO_01001538	frost-formed hummock	"When discussing frozen ground, a hummock is a small lump of soil pushed up by frost action, often found in uniformly spaced large groups. Hummocks can form in areas of permafrost or seasonally frozen ground, and are one of the most common surface features of the Arctic."																									
	http://sweetontology.net/realmCryo/LandIce	Class	http://purl.obolibrary.org/obo/ENVO_01001547	Land ice mass	"Land ice is any part of the earth's seasonal or perennial ice cover that has formed over land as the result, principally, of the freezing of precipitation; opposed to sea ice formed by the freezing of seawater.  Thus, an iceberg or tabular iceberg is land ice as well as its parent glacier, ice sheet, or ice shelf. The two major concentrations of land ice are the ice sheets of Greenland and Antarctica. Glaciers and ice caps are the other important forms."			yes																						
				parent glacier					no existing classes																					
																														
	http://sweetontology.net/realmCryo/Lead	Class			"In sea ice terminology, a lead is any fracture or passage-way through sea ice which is navigable by surface vessels. A more general description of a lead is an area of open water or new ice between ice floes, although the term is generally applied to linear features. If the open area is very large it may be called a polynya. Leads develop as ice diverges, or pulls apart. A lead between the shore and the pack ice is called a coastal lead or shore lead, and a lead between the fast ice and the pack ice is called a flaw lead.  At below freezing temperatures, new, nilas and young ice forms at the surface of leads. From the point of view of the submariner, a recently frozen lead is an ice skylight."			yes																						
			ice floe	ice floe		A cohesive sheet of water ice which floats upon the surface of a water body.																								
			polynya	polynya		"Any enclosed water area in pack ice other than a lead, not large enough to be called open water. When frozen over, a polyna becomes an ice skylight from the point of view of the submariner."																								
			anchor ice?	fast ice		An ice mass which is attached to a bed underneath a body of water.																								
			ice sheet	pack ice		"A mass of glacier ice that covers surrounding terrain and is greater than 50,000 km2."			pack ice is a synonym of ice sheet in envo																					
				flaw lead					nothing																					
				coastal lead or shore lead					nothing																					
			young ice	young ice		A sea ice floe which is inflexible and thicker than nilas.																								
				nilas ice					nothing																					
			new ice	new ice		Water ice which is formed from freezing water and is suspended in a water body.																								
				pack ice					Need to come back to flaw lead axiomization																					
				ice skylight					nothing																					
																														
	http://sweetontology.net/realmCryo/PackIce	Class			"1) Pre-2014 Pack ice definitions state that it is ice that is not attached to the shoreline and drifts in response to winds, currents, and other forces.  Pack ice can be described as very open (with an ice concentration of 1/10 to 3/10), open (4/10 to 6/10, with many leads and polynyas and the floes generally not in contact with one another), close (7/10 to 8/10, composed of floes mostly in contact), very close (9/10 to less than 10/10), and compact (10/10, with no water visible, called consolidated pack ice if the floes are frozen together).

Has synonym drift ice.

2) Post-2014 Term used in a wide sense to include any area of sea ice other than fast ice with concentrations that are high, i.e. 7/10 or more,"			yes	"The meaning of the term pack ice has changed over time. Per the 2014 WMO Sea Ice Nomenclature the definition now is: ""Drift Ice/Pack Ice: Term used in a wide sense to include any area of sea ice other than fast ice no matter what form it takes or how it is disposed. When concentrations are high, i.e. 7/10 or more, drift ice may be replaced by the term pack ice*.

 *Note: Previously the term pack ice was used for all ranges of concentration."" To me this implies that probably the term has been used with both definitions over time, so to ensure proper inference two definitions are needed, each with its own permalink. However, it isn't obvious what, other than date of writing, can be used to distinguish which definition is meant."																					
																														
	http://sweetontology.net/realmCryo/SeaIce	Class			"1. In general usage, sea ice is any ice found floating in the sea. 

2. In sea ice operations however, sea ice is any form of ice found at sea which has originated from the freezing of sea water.  It presents the main kind of floating ice encountered at sea. Except where it forms ridges, sea ice is up to a few metres thick, in which respect it differs from shelf ice.  Sea ice may be discontinuous pieces (ice floes) moved on the ocean surface by wind and currents (pack ice), or a motionless sheet attached to the coast (land-fast ice). In brief, it forms first as lolly ice (frazil crystals), thickens into sludge, and coagulates into sheet ice, pancake ice, or into floes of various shapes and sizes. Thereafter, sea ice may develop into pack ice and/or become a form of pressure ice.  Sea ice less than one year old is called first-year ice. Perennial ice is sea ice that survives at least one summer. It may be subdivided into second-year ice and multi-year ice, where multiyear ice has survived at least two summers.

3. In the United States, NOAA sea ice operations does not include superstructure icing as being sea ice.  In addition, they do count ice formed from the freezing of the waters of the Great Lakes as being the same as sea ice."			yes	Need to check alignments in ENVO for these terms since we re-classified this in ENVO on 2/27/2019																					
																														
	http://sweetontology.net/realmCryo/SeasonalIce	Class	" 	

http://purl.obolibrary.org/obo/ENVO_03000071"		None - though the term seasonal ice zone does exist (see note)			yes	"An area of ocean that extends from the permanent ice zone to the boundary where winter sea ice extent is at a maximum; here, sea ice is present only part of the year; this zone primarily consists of first-year ice."																					
																														
	http://sweetontology.net/realmCryo/Snout	Class	http://purl.obolibrary.org/obo/ENVO_01001529		A synonym for terminus.			yes	nothing																					
																														
	http://sweetontology.net/realmCryo/TabularIceberg	Class	http://purl.obolibrary.org/obo/ENVO_01001534		"Sea ice terminology describing a flat-topped iceberg that has become detached from an iceshelf, ice tongue or floating tidewater glacier.  

Newly formed tabular icebergs have nearly vertical sides and flat tops. In the Antarctic, they may be tens of kilometers wide, up to 160 km (100 miles) long, and as much as 300 m (1000 ft) thick, with about 30 m (100 ft) exposed above the sea surface. In the Arctic, large icebergs of this type are called ice islands, but they are considerably smaller than the largest of the antarctic variety.

Has synonyms tabular berg, table iceberg.  Formerly called barrier iceberg."			yes																						
			ice tongue	ice tongue		 A long and narrow sheet of ice projecting out from the coastline. An ice tongue forms when a valley glacier moves very rapidly out into the ocean or a lake.																								
			tidewater glacier	tidewater glacier		A glacier that flows into the sea.																								
																														
	http://sweetontology.net/realmCryo/Tundra	Class	"tundra, http://purl.obolibrary.org/obo/ENVO_00000112"		"Treeless terrain, with a continuous cover of vegetation, characteristic of both polar and alpine regions (i.e., both high latitudes and high altitudes). The plants thereon are sedges, mosses, lichens, and a few small shrubs. Tundra is often underlaid by permafrost, with the result that drainage is bad and the soil may be saturated for long periods. It does not have a permanent snow-ice cover. Productivity is low in this biome because of the extremes of climate."	"A vegetated area which overlaps treeless, level, or gently rolling plains characteristic of arctic or subarctic regions, permanently frozen subsoil, and communities of low growing vegetation such as lichens, mosses, and stunted shrubs."	"I think 'plants' should be mentioned. Merriam Webster   level or rolling treeless plain that is characteristic of arctic and subarctic regions, consists of black mucky soil with a permanently frozen subsoil, and has a dominant vegetation of mosses, lichens, herbs, and dwarf shrubs also : a similar region confined to mountainous areas above timberline "	Yes 	"Updated ENVO definition and added two subcategories for polar tundra and alpine tundra - tied both to appropriate environmental conditions (i.e., tundra climatic condition and alpine)"																					
				sedge			use Cyperaceae; http://purl.obolibrary.org/obo/NCBITaxon_4609																							
				moss			use Bryophyta; http://purl.obolibrary.org/obo/NCBITaxon_3208																							
				lichen					may need to add to ecocore																					
				shrub					will need to add to ecocore																					
			permafrost	permafrost		"Soil at or below the freezing point of water (0C or 32F) for two or more years. Ice is not always present, as may be in the case of nonporous bedrock, but it frequently occurs and it may be in amounts exceeding the potential hydraulic saturation of the ground material."																								
				productivity					"in this definition, does productivity = biomass?"																					
																														
	http://sweetontology.net/statePhysical/Frozen	Individual			none																									
